;;;0;;0;NaN
tema;canal;link;0;titulo;0;NaN
Animals;TopGear;Vzi8YWHO9ZM;0;Top Gear Bicycle Advert;0;0.4102370351425815
Autos;jewelrymaking101;alKPTw9QGaM;0;Easy Bracelet Making Instructions;0;0.5187074829931974
Autos;jewelrymaking101;hYaliwJM2rk;0;Easy How to Make Bracelets Video Instructions;0;0.9166666666666666
Autos;jewelrymaking101;UM4GCnpDAfw;3;jewelry making 101;0;NaN
Autos;TopGear;lRztyteLVIU;0;Top Gear 16x01 ITA HD Completo;0;NaN
